flip_angle_(fraction_of_nominal),rf_phase_(deg),extension_of_base_TR_(ms),extension_of_base_TE_(ms)
0.605429,0.000000,2.28,0.00
0.593429,0.000000,2.30,0.00
0.581286,0.000000,2.32,0.00
0.569000,0.000000,2.33,0.00
0.556571,0.000000,2.35,0.00
0.544143,0.000000,2.37,0.00
0.531429,0.000000,2.38,0.00
0.518714,0.000000,2.40,0.00
0.506000,0.000000,2.41,0.00
0.493000,0.000000,2.42,0.00
0.480000,0.000000,2.43,0.00
0.466857,0.000000,2.44,0.00
0.453571,0.000000,2.44,0.00
0.440143,0.000000,2.44,0.00
0.426714,0.000000,2.44,0.00
0.413286,0.000000,2.44,0.00
0.399714,0.000000,2.43,0.00
0.386000,0.000000,2.42,0.00
0.372143,0.000000,2.41,0.00
0.358429,0.000000,2.39,0.00
0.344429,0.000000,2.37,0.00
0.330429,0.000000,2.35,0.00
0.316429,0.000000,2.33,0.00
0.302286,0.000000,2.31,0.00
0.288143,0.000000,2.29,0.00
0.274000,0.000000,2.27,0.00
0.259714,0.000000,2.25,0.00
0.245429,0.000000,2.23,0.00
0.231143,0.000000,2.21,0.00
0.216714,0.000000,2.20,0.00
0.202286,0.000000,2.18,0.00
0.187857,0.000000,2.16,0.00
0.173286,0.000000,2.14,0.00
0.158857,0.000000,2.12,0.00
0.144286,0.000000,2.10,0.00
0.129714,0.000000,2.07,0.00
0.115143,0.000000,2.05,0.00
0.100571,0.000000,2.03,0.00
0.086000,0.000000,2.00,0.00
0.071429,0.000000,1.98,0.00
0.000000,0.000000,1.95,0.00
0.000000,0.000000,1.92,0.00
0.000000,0.000000,1.89,0.00
0.000000,0.000000,1.85,0.00
0.000000,0.000000,1.82,0.00
0.000000,0.000000,1.78,0.00
0.000000,0.000000,1.74,0.00
0.000000,0.000000,1.70,0.00
0.000000,0.000000,1.67,0.00
0.080429,0.000000,1.63,0.00
0.089429,0.000000,1.59,0.00
0.098286,0.000000,1.55,0.00
0.107286,0.000000,1.52,0.00
0.116286,0.000000,1.48,0.00
0.125143,0.000000,1.44,0.00
0.134143,0.000000,1.40,0.00
0.143000,0.000000,1.36,0.00
0.152000,0.000000,1.32,0.00
0.160857,0.000000,1.29,0.00
0.169714,0.000000,1.25,0.00
0.178571,0.000000,1.21,0.00
0.187286,0.000000,1.18,0.00
0.196143,0.000000,1.14,0.00
0.204857,0.000000,1.10,0.00
0.213571,0.000000,1.07,0.00
0.222143,0.000000,1.04,0.00
0.230857,0.000000,1.00,0.00
0.239429,0.000000,0.97,0.00
0.248000,0.000000,0.94,0.00
0.256571,0.000000,0.91,0.00
0.265000,0.000000,0.88,0.00
0.273429,0.000000,0.86,0.00
0.281714,0.000000,0.83,0.00
0.290143,0.000000,0.80,0.00
0.298429,0.000000,0.78,0.00
0.306571,0.000000,0.76,0.00
0.314714,0.000000,0.74,0.00
0.322857,0.000000,0.72,0.00
0.330857,0.000000,0.70,0.00
0.338857,0.000000,0.69,0.00
0.346714,0.000000,0.67,0.00
0.354571,0.000000,0.66,0.00
0.362286,0.000000,0.65,0.00
0.370000,0.000000,0.64,0.00
0.377571,0.000000,0.63,0.00
0.385143,0.000000,0.62,0.00
0.392571,0.000000,0.61,0.00
0.400000,0.000000,0.60,0.00
0.407286,0.000000,0.59,0.00
0.414571,0.000000,0.58,0.00
0.421714,0.000000,0.57,0.00
0.428714,0.000000,0.57,0.00
0.435714,0.000000,0.56,0.00
0.442571,0.000000,0.55,0.00
0.449286,0.000000,0.55,0.00
0.456000,0.000000,0.54,0.00
0.462571,0.000000,0.54,0.00
